x,y,hits
10,95,2
0,86,2
11,234,2
64,0,4
167,0,2
105,97,2
118,109,2
255,41,2
100,101,3
90,0,3
177,0,2
124,0,2
2,102,2
0,210,2
52,115,2
116,0,4
203,0,3
101,111,2
7,144,2
109,104,2
192,30,3
1,64,2
0,200,2
255,0,4
9,0,3
4,104,2
15,244,2
11,52,2
191,229,2
0,11,8
8,126,2
87,0,2
2,192,2
0,4,9
97,0,2
184,0,2
255,255,3
5,126,2
210,0,2
121,112,2
36,101,2
0,45,2
57,59,2
98,108,2
158,101,2
138,0,2
2,47,2
60,186,2
97,107,2
45,104,2
68,0,2
155,0,2
0,118,2
0,207,4
23,28,2
159,0,2
1,88,2
104,0,5
101,114,2
108,115,2
0,108,2
5,217,2
4,87,2
9,107,2
9,62,2
60,88,2
114,116,2
13,0,3
15,155,2
1,250,2
115,115,2
0,14,6
49,0,2
136,0,2
115,100,2
110,102,3
0,49,2
162,0,2
0,138,2
101,0,3
188,0,2
105,110,3
214,0,2
16,7,2
15,99,2
2,128,4
250,0,3
67,1,2
88,186,2
184,207,2
102,116,2
4,0,2
112,109,2
24,255,2
56,115,2
30,218,2
108,0,2
10,122,2
0,251,2
221,0,3
0,18,2
1,78,2
1,19,2
0,5,7
1,189,2
0,158,2
1,0,24
0,8,8
117,114,2
12,104,4
27,0,3
81,201,2
53,0,2
116,98,2
0,237,2
28,48,2
104,85,2
3,43,2
0,81,2
0,170,2
115,0,5
202,0,2
105,115,2
7,34,2
101,100,2
66,60,5
18,194,2
15,50,2
56,179,2
14,112,2
34,0,3
13,152,2
4,99,2
60,0,2
147,0,2
11,185,2
86,0,2
0,28,3
1,130,2
96,0,2
59,116,2
8,226,2
0,15,12
108,32,2
122,0,3
209,0,3
0,152,2
2,13,2
192,68,2
52,50,3
14,116,2
118,99,3
128,0,3
0,212,2
67,0,3
41,21,2
101,109,2
6,202,2
0,198,2
1,43,2
114,97,2
1,120,2
9,27,2
10,248,2
114,108,2
12,0,3
0,19,2
38,0,3
1,18,2
0,6,6
48,0,2
8,252,2
0,9,9
74,0,3
94,109,2
100,0,6
111,118,2
19,177,2
126,0,3
154,97,2
239,0,2
118,105,2
1,67,2
19,0,2
2,88,2
0,72,3
1,95,2
2,71,2
100,116,2
71,0,2
20,118,2
3,223,2
108,109,2
81,0,2
13,37,2
107,0,4
194,0,2
1,156,2
0,1,55
118,104,2
28,101,2
0,0,512
9,183,2
110,100,2
52,0,2
0,38,2
85,196,2
78,0,2
7,234,2
30,36,2
0,85,2
88,0,3
79,255,2
15,90,2
0,92,2
128,1,3
114,0,3
201,0,2
100,115,2
227,0,2
1,30,2
101,108,2
253,0,2
0,57,2
100,108,3
23,0,2
11,172,2
5,221,2
5,21,2
1,149,2
4,102,2
85,0,2
0,20,3
115,122,2
14,159,2
198,0,2
0,7,9
115,111,2
136,147,2
41,203,2
0,10,9
180,115,2
0,30,2
234,0,3
109,109,2
12,117,2
1,56,2
0,32,2
97,118,3
30,0,2
105,111,2
9,66,2
143,0,2
2,156,2
66,0,6
6,25,2
111,72,2
5,181,2
0,223,2
0,73,2
4,162,2
118,0,3
2,67,2
9,250,2
0,56,4
99,67,2
20,98,2
241,0,2
218,2,2
1,101,2
15,29,2
29,0,2
37,0,2
3,103,2
10,23,2
7,0,3
115,116,8
255,225,2
7,84,2
73,0,2
0,154,2
207,66,5
0,52,2
99,0,4
186,0,3
116,107,2
212,0,2
48,97,2
111,100,2
248,0,2
104,100,6
18,0,2
15,86,2
0,64,3
3,163,2
172,0,2
8,181,2
109,100,3
170,115,2
108,101,2
21,255,2
183,0,2
7,170,2
60,128,2
0,105,2
25,103,2
6,83,2
3,136,2
14,66,2
0,21,2
130,0,2
0,24,4
15,0,2
217,0,2
0,255,2
101,102,2
25,0,4
92,116,2
115,99,2
7,209,2
1,10,2
116,114,3
10,221,2
15,81,2
6,143,2
10,66,2
2,167,2
104,206,2
111,109,2
103,0,2
100,104,2
72,97,2
1,209,2
28,100,2
0,74,2
252,0,2
10,182,2
22,0,2
1,25,2
1,66,2
206,60,2
24,115,2
32,0,2
1,34,2
24,102,2
114,101,2
84,0,2
21,105,2
11,186,2
7,74,2
120,0,2
223,0,3
0,2,16
12,98,2
41,192,3
116,121,2
8,66,2
0,214,2
3,0,5
0,142,2
8,203,2
116,116,2
98,116,2
4,27,2
142,0,2
105,100,3
152,0,3
60,184,3
91,0,2
56,30,2
117,0,2
1,91,2
109,112,3
15,12,2
226,96,2
10,53,2
10,0,3
5,66,2
4,222,2
103,66,2
36,0,2
13,118,2
14,10,2
62,0,2
6,253,2
0,25,3
72,0,3
49,180,2
0,12,8
98,0,2
185,0,3
1,9,3
116,115,7
112,52,3
30,115,2
0,136,2
181,0,3
237,0,2
30,255,2
11,112,2
100,105,3
0,79,2
97,110,2
43,0,3
107,104,2
156,0,3
109,105,2
95,0,3
182,0,2
109,118,2
192,0,4
1,60,2
229,192,2
0,13,5
179,109,2
2,107,2
244,0,2
2,239,2
1,104,3
0,16,2
0,3,10
