x,y,hits
68,61,2
59,0,2
64,0,3
0,41,3
105,97,2
52,35,2
255,41,2
100,101,3
56,38,3
55,54,2
141,19,2
233,0,15488
52,139,7
102,0,4
104,233,2
115,111,3
101,111,2
150,106,2
197,248,2
109,104,2
19,128,2
24,203,2
255,0,3
102,112,2
0,72,3
12,117,2
9,0,6
0,32,2
97,118,4
46,48,2
105,111,2
207,52,7
27,124,2
33,112,2
0,20,3
112,56,2
8,0,6
140,24,2
0,17,3
35,0,2
46,207,4
139,46,5
0,4,29
49,58,2
97,0,2
255,225,2
118,0,3
51,59,2
210,0,18680
121,112,2
76,116,2
99,67,2
109,97,2
112,105,2
20,98,2
2,51,2
3,233,15488
27,103,2
6,0,19
65,67,2
164,0,3401
100,108,2
0,7,18697
0,62,2
11,0,4
7,0,17
97,107,2
115,116,4
54,32,2
114,108,2
0,1,69935
0,118,3
56,0,2
61,50,2
0,207,3
0,52,2
35,192,2
94,104,2
116,107,2
0,108,2
67,1,2
11,181,2
111,100,2
203,1,2
0,93,2
114,116,3
108,0,2
104,100,6
53,46,2
18,0,2
0,27,8
0,64,3
6,104,2
0,46,2
109,100,3
64,120,2
115,100,2
7,210,18680
110,102,3
17,153,2
38,89,2
21,255,2
71,80,2
32,71,2
57,55,2
116,104,2
112,115,2
192,8,2
128,3,2
16,7,2
62,128,2
98,109,2
54,52,2
181,79,2
0,21,2
0,6,21
120,6,2
0,24,4
32,45,2
17,0,2
11,187,1584
225,0,2
102,116,2
0,11,1588
92,116,2
2,62,2
46,0,3
62,101,2
116,114,4
4,0,29
0,28,2
24,255,2
141,0,13904
0,33,2
111,109,3
105,110,3
100,104,2
104,32,2
99,107,2
0,18,2
248,237,2
19,141,13904
184,1,2
0,158,2
1,0,69934
0,8,6
117,114,2
22,0,2
207,35,2
27,0,3
24,115,2
32,0,2
91,184,2
24,102,2
114,101,3
46,50,2
85,196,2
50,54,2
119,105,2
21,105,2
89,0,2
1,105,2
0,92,2
115,0,4
50,51,2
105,115,3
0,2,269
61,49,2
101,100,2
116,121,2
3,0,58
172,217,2
0,56,3
98,116,2
29,0,2
0,12,4
57,207,2
32,73,2
192,0,2
105,100,3
41,255,2
15,164,3401
0,94,2
123,34,2
100,32,2
16,0,2
28,100,2
34,115,2
0,15,3401
108,32,2
116,0,2
153,232,2
1,141,2
35,116,2
109,112,2
103,100,2
13,0,5
109,0,2
46,53,2
123,232,2
45,114,2
118,109,2
124,76,2
48,45,2
49,0,3
118,99,4
0,22,2
128,0,5
48,69,2
5,0,21
105,116,2
41,21,2
72,0,3
139,54,3
1,207,2
116,115,4
10,0,6
4,2,2
111,46,2
8,197,2
114,97,3
106,2,2
3,88,3
232,99,2
100,105,3
0,79,2
12,0,3
0,174,2
0,19,13905
79,255,2
255,255,3
2,128,2
223,150,2
0,16,3
116,98,2
0,9,6
109,105,2
2,4,2
41,172,2
100,0,8
109,118,2
73,109,2
111,118,2
107,73,2
232,109,2
27,123,4
99,116,2
0,36,2
52,97,2
0,13,5
0,5,21
118,105,3
97,99,2
1,100,2
73,68,2
19,0,2
2,88,2
0,3,15546
58,102,2
250,109,2
99,49,3
20,118,2
2,0,266
67,32,2
46,57,2
36,100,2
6,223,2
38,57,2
51,46,2
107,0,2
174,115,2
217,64,2
0,48,2
100,114,2
6,91,2
93,192,2
0,29,2
118,104,2
187,0,1584
0,0,263259
111,114,2
101,102,2
109,111,2
0,10,6
116,116,3
108,114,2
57,0,2
116,101,2
48,46,2
123,98,2
88,0,4
233,57,2
32,119,2
196,0,2
79,140,2
114,0,2
158,97,2
7,128,3
237,85,2
100,115,2
115,61,2
107,104,2
32,109,2
54,0,3
80,65,2
108,109,2
32,48,2
69,250,2
45,32,2
112,111,2
101,118,2
0,35,2
111,111,2
101,0,3
98,108,2
